pid,degree
4398046521068,1786
6597069774744,570
2199023264344,618
17592186055236,634
32985348834428,363
6780,526
8796093022380,384
21990232566480,93
30786325580572,351
35184372098116,1130
6597069769684,1869
17592186051872,2629
37383395348700,533
10995116279584,2457
21990232561952,1058
8796093032196,426
15393162793972,570
17592186051428,635
28587302327964,1268
37383395352244,64
21990232564880,275
4398046521552,1968
32985348834404,879
4398046520360,206
13194139534796,1742
10995116287672,520
28587302326532,352
30786325588120,329
24189255820712,632
10995116282680,359
4398046512836,598
28587302329948,1702
10995116279356,595
28587302333144,1029
4398046517568,967
37383395348452,2191
19791209301120,357
24189255815408,182
24189255816556,1951
37383395352940,1520
19791209306952,408
3156,181
30786325582912,1206
21990232555764,862
30786325583904,676
13194139537464,149
17592186048228,1454
19791209304104,114
35184372097888,1130
24189255816544,1263
4398046511868,1253
17592186046716,2742
19791209304416,657
28587302323960,1189
21990232558284,3479
6597069773004,1011
28587302329336,1622
10995116284592,410
15393162798536,496
30786325580976,757
28587302330272,656
8796093026952,2947
2199023261832,3141
4398046517832,725
6597069776460,665
35184372088908,1174
26388279073212,419
19791209307548,1771
10995116288732,2232
26388279075360,2592
30786325584956,890
2199023256124,1310
13194139536172,570
6597069766956,679
13194139538364,1099
35184372094668,2031
26388279067728,491
30786325577808,356
30786325581872,1786
28587302324596,2402
28587302324452,1486
26388279068136,1929
28587302330344,3653
6597069768228,770
13194139543744,286
32985348834052,968
24189255812324,2669
35184372088992,553
24189255816812,289
6597069772560,1155
28587302325008,1205
4398046520876,1960
17592186049052,942
32985348838260,758
37383395349504,216
4398046511316,1102
13194139535860,197
19791209304624,1229
28587302322180,3052
32985348839012,1796
24189255818900,3302
26388279070868,630
24189255819756,249
21990232562836,927
19791209308188,777
6300,80
6597069774032,3055
30786325579616,588
21990232564808,245
26388279076936,88
35184372092244,470
6597069767404,1899
21990232557128,524
28587302329156,3122
26388279071108,909
6597069768164,2012
2199023261320,1585
37383395353060,726
15393162798428,1383
4398046522020,1233
10995116285564,137
4398046517544,529
7464,393
13194139537956,1877
2199023263408,7328
21990232557744,972
4104,477
24189255818704,366
4398046519404,92
10995116279548,619
8796093031752,1826
4398046511148,1096
28587302328444,3034
4398046517216,2777
26388279069544,1063
26388279071096,437
8796093029212,2077
28587302332864,1811
19791209310576,303
32985348841536,2360
19791209307924,1128
30786325581528,374
28587302330784,262
15393162799504,1256
15393162789060,2514
6597069771364,383
10995116279088,2034
24189255817076,216
21990232557356,407
30786325586856,681
21990232556960,1074
24189255818632,1055
10995116285720,1010
8796093025960,228
37383395350048,587
8796093026176,1303
13194139542620,454
4398046517760,1102
21990232555800,329
8796093030492,2037
1032,583
13194139542108,491
19791209310408,104
8796093031188,338
13194139543088,334
15393162791332,1686
30786325582580,503
30786325580776,498
21990232561480,1057
3036,532
15393162790364,1446
30786325582400,551
2199023265060,1002
35184372094992,197
26388279071780,710
15393162793576,2783
17592186047592,1729
8796093023472,8548
35184372092916,829
19791209309164,122
24189255811464,1325
24189255812808,1363
21990232556424,1825
32985348843168,167
8796093027072,741
10995116280560,2178
32985348837316,751
24189255814788,429
24189255814412,529
4398046519052,482
32985348836820,1279
13194139537752,549
21990232557152,459
8796093029692,1280
30786325580092,327
6597069771580,2182
17592186049520,74
21990232561648,333
4398046515384,104
32985348838032,658
30786325586916,248
9156,75
10995116280964,1241
32985348839760,259
13194139538816,879
13194139540372,896
21990232566108,3038
8796093032016,1116
35184372089652,479
1272,2261
17592186054504,441
17592186045492,501
2199023261236,1401
17592186052644,1243
13194139542584,95
2199023257396,1049
28587302328660,105
21990232562348,1135
35184372090120,528
10995116279064,857
24189255819164,795
9552,594
24189255813132,113
6597069767852,885
4044,884
13194139534284,1082
15393162797008,753
24189255815100,2907
35184372099484,398
9840,593
15393162797388,458
37383395347788,691
30786325582040,445
9000,1147
30786325581396,283
28587302324308,198
30786325583092,922
26388279069292,1537
13194139538540,574
24189255818972,2288
13194139543684,222
30786325581300,323
28587302326208,397
17592186047724,763
30786325584228,541
1380,947
32985348834692,478
17592186045600,364
19791209304028,941
8892,3024
17592186049304,362
21990232563936,236
15393162794384,898
17592186045552,2168
28587302325520,1331
32985348835600,9497
8796093028080,625
21990232556400,1035
32985348833556,346
17592186051944,1112
26388279070396,764
19791209302816,1123
17592186049724,424
6732,753
21990232564832,212
2199023263921,1996
15393162789533,1380
32985348837861,2123
13194139534213,400
2869,3849
26388279076777,235
13194139533469,238
35184372089689,5605
17592186050325,919
32985348835625,1168
4398046521141,3262
35184372096601,239
10995116288345,895
2199023256853,4889
4398046519441,1857
10995116288321,627
6597069776217,861
24189255816049,1181
28587302330225,664
26388279070673,228
28587302327661,2233
13194139536961,104
24189255811081,2461
10995116281013,577
2199023259697,1289
4398046516785,938
21990232556269,701
2199023260693,1187
19791209302997,1186
37383395351069,1539
4398046521153,631
2199023258701,788
26388279067777,994
21990232556293,2801
4398046511473,2361
35184372091393,616
19791209306349,409
4398046517533,1934
21990232558345,1610
17592186044545,678
32985348838445,442
4398046514433,1379
24189255817581,1485
4398046515733,278
26388279068401,798
30786325584565,516
37383395344609,173
37383395344633,664
4398046517293,19
19791209305377,868
28587302329229,541
10995116278325,381
24189255811793,612
32985348844173,2347
30786325581241,434
28587302332757,1785
17592186053461,1131
10995116285333,1758
6597069771157,1078
17592186045373,1176
7693,158
4398046520553,1255
7633,1278
32985348836157,630
8796093029621,653
28587302322881,2127
4398046516485,647
28587302332157,1252
2199023257361,1174
15393162794037,1368
24189255816221,659
17592186050457,322
28587302323109,343
15393162794929,327
17592186045613,505
4398046517061,1126
6597069772393,741
15393162797545,903
13194139543889,840
15393162792385,1846
21990232566253,317
37383395348809,447
28587302326269,593
24189255821437,1712
13194139537873,198
30786325580021,598
26388279074617,412
37383395347037,227
32985348837125,5534
26388279067645,1215
32985348839485,395
30786325584445,935
21990232560417,893
10995116288201,1215
6597069770217,2392
4398046522033,412
10995116286193,278
30786325581529,928
6597069770229,616
13194139541893,1289
32985348839145,570
17592186053497,457
30786325579149,825
17592186051225,604
10995116283797,2118
7273,1494
2199023260589,597
19791209309341,2689
8796093028781,820
15393162793949,285
7645,845
28587302326137,634
4398046515613,421
13194139535349,762
35184372090097,935
8653,2480
24189255818393,344
4398046517881,3353
15393162792025,434
1537,532
28587302326353,801
6889,1509
8796093029597,3848
28587302325225,708
35184372097997,258
8796093029753,467
6597069770085,280
13194139534237,578
37383395350193,827
2199023260445,2565
28587302330249,303
4398046518085,3475
17592186052621,482
26388279073777,480
28587302328817,396
21990232557357,278
26388279068329,661
17592186046669,714
4398046518477,422
26388279066721,557
32985348838189,365
28587302324853,1222
28587302327397,263
8796093024989,741
10995116280029,699
4398046516413,289
15393162793805,451
30786325587837,1581
19791209308709,1470
24189255818573,484
26388279069173,471
24189255815241,567
10995116284809,1113
6597069775637,1051
28587302324633,654
19791209305533,788
21990232566157,360
6597069767997,1463
26388279076889,212
2199023255557,933
4398046512897,684
1933,567
2199023261953,2677
28587302325677,2266
217,527
8796093024677,300
8796093028469,104
8796093022657,926
32985348833957,544
26388279069281,792
21990232565049,473
35184372089137,636
2665,2245
17592186050937,607
2199023255761,990
28587302329489,819
19791209308889,1896
15393162796613,582
2199023258833,321
13194139535097,237
4398046521529,1668
26388279073081,428
17592186048457,285
2473,840
10995116279669,45
21990232560501,1189
32985348841633,574
24189255811429,208
4398046519429,524
6597069767973,631
15393162792241,246
28587302328673,229
30786325587885,301
13194139543173,439
17592186047652,985
8796093029248,773
10995116280548,1443
32985348838056,1048
4398046511484,746
6597069775480,2452
21990232563544,1714
21990232562692,314
15393162796428,908
21990232560392,307
37383395351736,128
17592186053232,431
17592186046008,1402
15393162796900,1477
15393162798076,766
26388279066720,490
6597069767756,117
32985348835140,647
17592186054960,1159
8712,369
35184372094476,713
32985348839000,399
2199023259060,1665
6597069774528,992
10995116278068,221
15393162790208,246
4398046516032,741
32985348840004,444
4398046512428,656
19791209308116,96
37383395353888,905
8796093032304,1358
13194139534976,873
10044,341
19791209308584,1317
3576,289
28587302331852,1758
21990232564536,1967
17592186053760,2709
8796093031524,357
19791209305340,1689
17592186054552,233
19791209300656,961
504,2242
35184372094380,243
19791209310240,360
4398046516964,904
28587302333120,956
4398046512668,3966
28587302331208,1012
8796093028152,2071
13194139536432,1035
2199023261700,982
30786325587008,534
10995116286688,1426
30786325582996,489
30786325582700,1709
8796093025216,416
37383395348308,456
32985348841644,452
4398046516808,896
4398046512536,1217
2199023257656,825
2199023258064,388
6597069767028,4367
13194139541196,1609
6597069775408,698
24189255812444,1136
13194139538864,506
10995116278056,2281
17592186048656,1206
10995116286580,370
32985348841872,208
6597069771352,1039
17592186049880,947
15393162799300,1873
948,3310
4398046512500,487
13194139538636,383
17592186045852,236
6597069770216,1539
35184372099040,985
6597069775384,1184
17592186046020,389
19791209302984,986
13194139543316,1097
2184,1188
32985348839844,515
6120,549
4398046516200,477
37383395345640,716
10995116286396,379
17592186055380,776
32985348838988,213
13194139539140,3043
28587302323224,2571
6597069772488,711
19791209303644,113
32985348843216,1145
21990232561844,431
10995116279256,584
10995116286964,1539
7788,530
28587302328636,473
15393162797956,646
19791209301396,735
2199023263884,1421
30786325581192,727
21990232558976,249
32985348842332,569
19791209310600,420
35184372091452,2165
35184372092700,718
24189255816872,172
15393162794468,1312
17592186047460,1027
5880,727
15393162799564,694
6597069776760,1559
21990232564056,2981
10995116279428,2460
32985348842020,821
32985348837824,178
17592186052908,183
8796093022752,9885
17592186054780,1365
15393162791068,535
13194139543196,1539
4398046520636,1800
37383395352088,4094
10995116284520,1153
13194139537932,255
24189255821340,1438
8796093024204,472
6597069769432,522
21990232562968,431
17592186048348,259
35184372095364,235
6597069776348,694
10995116287504,2013
6597069776168,682
10995116287308,531
2199023264940,1269
13194139534580,483
10995116282476,1239
17592186048336,52
13194139542944,1418
6597069775492,1219
10995116278456,1202
6597069776372,1628
7404,1043
6597069774636,545
24189255819104,764
28587302325920,1891
37383395347240,716
32985348836336,737
2199023263932,494
8796093032728,811
4398046520852,1148
2199023259496,316
35184372097588,1366
28587302324488,583
384,855
4398046515804,849
24189255817701,1377
21990232562565,428
19791209305969,2696
13194139537729,121
28587302330713,1035
13194139536053,633
32985348844269,566
32985348836641,341
17592186053173,1401
35184372094081,1759
28587302324997,810
35184372089365,864
6597069771773,3395
28587302322541,653
2199023260301,823
28587302324117,785
24189255814377,90
15393162795897,779
26388279071325,191
21990232558201,306
15393162796817,306
2199023257681,604
17592186044905,343
21990232562589,216
26388279076081,859
4398046511401,694
4398046512729,1370
21990232558405,732
19791209307237,508
4398046520685,821
30786325584853,628
21990232556461,2015
6597069773645,2244
6597069777629,1552
4398046517617,493
24189255815193,447
21990232564645,803
37383395349053,3132
4398046514865,867
28587302332145,128
35184372093349,190
8796093030184,1849
37383395353316,376
13194139542144,230
2040,1783
28587302323380,12487
15393162792568,479
21990232560760,323
19791209309812,1262
8796093024568,370
17592186047124,3091
15393162793440,2713
6597069777276,574
26388279070832,2899
24189255814268,928
13194139536684,337
4398046517024,732
2199023260588,1383
28587302324888,424
17592186047016,306
21990232558904,175
8796093022536,2490
24189255813952,300
4398046521444,3215
26388279073632,318
2199023258844,1826
6597069771772,513
4398046512632,230
15393162792396,606
10995116283652,886
28587302324416,418
24189255819844,655
24189255811104,843
2199023265472,769
2199023266444,748
8796093024108,2593
4398046520672,1074
10995116281400,131
8796093031572,337
8796093027504,1044
10995116287612,791
19791209304996,1466
32985348837464,446
2199023266116,2642
35184372092688,1935
15393162795016,855
6597069768204,453
2199023259544,573
19791209300488,700
13194139543364,77
21990232560724,152
6264,1188
37383395351928,1852
4398046521516,466
10995116285528,1078
13194139537332,429
15393162792820,2219
30786325583536,438
21990232563972,1406
19791209305568,509
15393162799480,668
10995116288080,950
35184372099052,1270
30786325588264,1358
35184372096252,81
24189255819952,287
4398046512000,489
26388279070276,980
26388279071144,612
15393162788928,1238
28587302332552,175
10776,1461
4728,1380
21990232559300,2969
13194139536624,1158
30786325583140,124
32985348837848,1261
19791209306652,440
15393162799092,10318
24189255821460,189
21990232557524,1201
32985348837776,2509
10995116285756,458
2199023263360,20
4398046513296,319
21990232560452,1432
6597069776180,617
4398046511304,3484
17592186048680,370
2676,4048
37383395344524,705
19791209310672,739
6516,275
19791209300884,1293
24189255811792,1109
32985348835348,1285
30786325585748,27
35184372090144,530
9648,103
17592186051788,8401
1164,3046
10995116281484,833
21990232561324,142
19791209300944,925
30786325580740,366
28587302324332,792
15393162789324,659
4398046511664,1191
4398046511460,487
24189255821920,414
26388279072440,1113
24189255812032,621
10995116279524,1390
6444,491
15393162795632,1949
13194139537680,546
30786325587836,583
26388279073044,207
32985348836388,346
8796093030076,1164
13194139534352,307
21990232558940,165
8316,821
35184372091225,346
13194139544117,605
28587302332360,381
8796093024736,554
396,426
28587302324780,1737
13194139536936,364
10995116288552,141
6456,455
13194139541736,1473
17592186046932,293
32985348835360,454
15393162797716,2474
24189255821424,230
6597069770640,3394
15393162798696,859
13194139537020,1111
4398046518392,384
2199023256436,3742
19791209310492,68
19791209308596,605
24189255818888,82
10995116279896,688
13194139535368,2411
2028,681
15393162791432,467
4398046522008,425
4398046521408,1755
21990232558584,263
32985348842600,1872
19791209301940,339
2199023258140,1345
21990232561468,538
24189255822052,4138
10995116286748,321
26388279072936,158
19791209300548,1911
30786325580176,284
2199023261856,735
19791209310844,1664
6597069769056,1679
13194139542992,1690
8796093025420,1933
2199023258976,271
32985348842672,531
35184372090540,485
26388279076344,2194
24189255817676,71
4398046515696,799
17592186051032,400
15393162798660,1020
19791209304200,534
30786325578516,299
2199023266020,17
4398046521780,987
2208,868
8796093022416,549
4398046512680,1948
26388279077260,425
480,872
19791209302224,519
17592186053160,1021
2199023262580,113
30786325582484,1644
28587302322576,1190
24189255819492,232
17592186053088,433
15393162797340,653
6597069772392,512
4398046516688,1089
2199023255640,719
21990232563720,409
19791209310216,3285
8304,541
35184372095569,522
10995116286881,618
17592186047605,1798
37383395347825,116
8796093022909,151
32985348842829,521
28587302330701,318
19791209301569,1168
13194139540897,281
4398046514937,471
10995116278469,357
35184372089125,547
8796093026165,2099
8161,439
4398046518909,579
13194139536173,1705
28587302329645,832
13194139537189,182
21990232561457,2379
4398046520433,710
32985348835505,248
15393162798261,551
21990232564477,1464
6597069774613,1483
4398046518217,2861
6597069769625,472
10995116288009,580
4398046512801,1327
8796093024509,1495
15393162792097,2704
13194139539617,989
32985348839785,1028
30786325585065,1792
19791209307025,1748
6597069767877,1374
30786325579889,424
10995116281473,91
7837,750
4398046516093,471
24189255821521,742
15393162796553,1477
8796093024269,4019
10995116278849,1153
28587302327269,314
30786325581481,976
2199023258597,922
6597069768541,395
9241,1492
10995116280765,447
4398046517605,1528
8796093027685,111
4398046511545,1709
8317,77
15393162789121,1406
26388279070241,1023
2199023262377,679
30786325584361,1517
6597069770521,1196
4398046520361,1177
2199023257349,385
21990232559877,782
37383395348069,622
10995116282077,1005
8796093032101,447
35184372099353,710
35184372096829,9116
8796093022477,140
2941,1973
32985348839181,84
13194139536877,1184
35184372097517,1110
21990232557021,396
2199023256961,607
4398046512501,3374
21990232563317,2257
26388279071061,1182
28587302328169,1385
6181,541
8796093023485,3709
24189255814693,1107
15393162797813,1362
4398046518921,1504
2199023261833,794
2199023259641,936
8796093023569,292
3409,453
35184372099809,333
24189255814161,506
26388279069377,292
13194139543101,370
6673,954
2199023264173,1784
35184372096697,3168
10995116281181,619
8796093029525,3842
10995116288577,4282
17592186047257,212
32985348843421,476
35184372095389,630
4398046521781,1479
17592186045889,2248
9445,1598
8796093023881,710
32985348836289,174
28587302327433,544
8017,113
8796093029105,2003
28587302329901,14051
30786325579605,11276
10995116286217,3434
26388279071289,664
17592186048049,1423
30786325580165,281
8796093030877,2460
15393162799069,992
24189255818537,222
17592186051369,1755
4398046520505,4843
37383395346505,619
28587302331233,651
28587302330093,461
21990232558917,680
26388279076729,378
26388279074953,226
8749,748
30786325582257,2077
28587302330581,3041
13194139536937,1360
32985348835385,445
24189255816269,259
35184372092017,1447
2199023255629,3849
17592186054409,2458
21990232557237,271
10995116281773,171
2199023256625,466
24189255811225,2567
8796093030041,525
26388279067921,791
8796093028153,651
21990232558821,859
10995116281557,391
15393162794145,993
26388279067537,367
4398046519825,19141
21990232562813,298
35184372091009,282
30786325580765,892
17592186051393,907
24189255819893,1414
17592186046597,175
6597069774469,614
24189255815673,2754
2199023257081,893
2199023261845,122
8796093029369,1071
26388279069749,473
2199023258285,1061
4398046514349,388
15393162794953,562
30786325579209,876
8113,146
8796093030901,704
10995116281401,1721
26388279073849,1575
17592186047737,431
4398046511161,343
28587302323901,162
19791209307645,2203
6597069767925,1663
4398046518897,357
24189255819469,1453
17592186053617,2289
19791209309729,1262
8796093029201,3727
28587302326101,999
5461,609
21990232560941,279
4398046511737,129
26388279075925,309
13194139541053,665
35184372090217,1213
26388279074881,2236
2199023258809,1484
32985348836413,2897
30786325581709,461
361,6093
26388279067465,403
30786325577965,382
32985348841969,259
17592186047701,1243
8796093028333,2679
35184372090265,404
8617,1019
10995116279309,253
4621,1243
28587302323853,274
6597069768229,762
2199023264681,367
7309,1164
15393162790789,735
26388279069077,1658
19791209309401,263
35184372094681,141
8796093029669,351
15393162795813,2637
21990232564129,914
15393162797341,727
2199023262001,839
4398046516629,387
13194139534665,538
6597069770569,629
10995116281365,875
17592186051501,323
2199023266493,494
37383395350097,351
8796093031897,1520
10995116285865,1702
10995116283485,1317
30786325586209,1124
15393162795717,1764
15393162797245,748
17592186046237,1289
4398046519281,3095
2199023257633,550
26388279071265,230
28587302330641,383
28587302329061,1214
30786325584205,2881
28587302325449,128
2199023262937,2005
19791209300837,4871
15393162796901,364
6597069777557,1302
4398046519945,586
13194139544105,899
2965,694
6597069770461,2839
15393162792217,841
28587302322869,381
4398046521925,542
8796093026485,586
26388279067429,654
10995116283689,1959
13194139537381,68
21990232564929,795
21990232557637,6473
13194139533937,1088
24189255814957,2710
30786325585005,1484
13194139541245,533
4398046516545,1679
6597069774261,634
28587302323781,272
35184372094117,984
30786325588133,1258
32985348843569,352
37383395352953,248
8796093031957,428
8796093025877,630
32985348837429,961
24189255811465,1462
13194139543649,1007
19791209304177,853
26388279073393,2459
2199023264989,428
26388279075289,869
26388279067201,266
21990232561265,682
37383395346877,811
30786325582865,714
6597069777109,704
21990232563617,454
30786325586713,484
28587302331673,1675
10861,1336
8796093031021,2691
32985348842453,246
30786325584061,415
30786325579509,421
24189255814629,1183
28587302323073,386
26388279076321,418
28587302332385,2434
4398046513909,459
32985348839229,120
17592186052341,151
13194139540645,301
17592186048597,230
30786325584981,787
4398046518297,570
24189255812529,710
15393162798829,512
19791209304901,1412
4398046512453,1510
37383395345333,406
26388279072693,148
2199023259425,817
13194139537333,1093
35184372098657,2660
28587302329441,852
15393162793189,543
9733,2510
28587302323297,1062
24189255818501,129
2199023260813,1672
1093,435
8796093031261,1088
30786325587945,340
21990232561857,514
10995116281885,1562
6597069770545,1479
32985348839218,422
35184372095522,483
15393162793202,257
10995116288202,2968
14,913
30786325580942,264
15393162796686,1781
2199023264526,531
8796093022238,565
32985348837078,601
10995116287926,230
2199023261502,3882
6597069771254,494
8796093031862,2854
8796093028238,1478
32985348843918,2867
2199023260638,726
21990232557022,1414
10995116288554,452
30786325586630,378
26388279075710,254
30786325586030,426
15393162793238,1000
24189255821798,1453
32985348840222,1928
21990232559902,1399
4398046511282,205
17592186047774,1299
21990232562970,1469
2199023265050,698
13194139540610,908
24189255815918,335
2199023256330,488
9686,360
17592186053366,1429
30786325581910,346
10995116279382,364
2174,2023
26388279070846,3348
15393162790090,542
10995116287818,241
15393162799642,837
32985348841466,343
30786325581898,659
5438,797
15393162798602,341
26388279072670,224
15393162798066,442
4398046518038,576
35184372094310,3010
6818,941
15393162799158,643
21990232564322,3306
15393162790150,679
4398046513802,3395
19791209306906,527
19791209300450,515
4334,864
10995116278922,750
15393162792918,2225
6597069770438,866
8796093030330,1217
21990232556474,367
8796093029070,619
24189255812302,575
6597069771666,734
8796093031646,387
2199023261346,386
19791209300946,1414
21990232559158,40
2199023258262,564
21990232562838,214
2199023264490,2248
2199023257206,3862
28587302325862,1100
17592186047030,1195
37383395350074,805
32985348836426,172
26388279069726,859
26388279072658,285
19791209307538,571
10995116278530,1080
2378,2195
10995116278602,3835
19791209309910,2742
10995116283558,1161
30786325579938,505
17592186044882,1607
28587302325790,445
35184372098850,1538
24189255816110,2039
26388279069810,906
26388279076238,886
10995116286278,1361
19791209304650,459
19791209305802,477
17592186044726,1159
8796093025362,437
24189255818358,64
19791209305402,882
15393162795066,598
10995116284986,631
35184372092078,486
19791209309850,2308
17592186053786,654
32985348844186,742
19791209302082,772
28587302324262,1344
17592186049402,1746
15393162792314,1210
26388279074690,3319
35184372091970,1093
13194139533842,1828
28587302332554,254
15393162793310,1428
19791209300766,1684
21990232556830,540
4398046516202,225
19791209303102,367
24189255813846,2030
2199023265902,877
10995116288394,2045
8796093026426,1383
5186,504
19791209309546,404
24189255812518,192
2199023266386,1221
4398046513670,3572
17592186051190,621
35184372094934,195
15393162790914,360
37383395351006,1122
8796093028986,1829
9542,83
17592186049198,656
24189255813218,481
19791209304938,555
4398046515338,532
30786325585258,869
17592186048802,2237
30786325588386,427
30786325585714,424
2199023260922,581
35184372091802,299
32985348839786,1625
10995116286014,10155
3470,11745
26388279070530,2940
2199023260994,1397
32985348841322,1635
19791209301302,334
2199023265878,496
8796093024702,3674
10995116283894,766
4398046515058,751
2199023256770,635
21990232559074,378
13194139544178,1015
21990232561182,753
6597069774962,446
17592186054998,10869
21990232565710,1828
10814,1662
2199023259866,148
30786325586066,874
35184372090482,701
19791209306482,120
13194139538210,658
26388279072682,1637
15393162796566,882
8018,2580
24189255818758,767
10995116278214,616
32985348838918,343
17592186055406,626
7274,893
4398046513994,484
30786325584554,550
2199023259378,524
17592186047558,691
32985348833862,386
17592186049930,1677
35184372096170,2228
4398046520686,333
4398046518418,3900
30786325582414,754
30786325588422,2900
37383395350470,938
8796093031418,741
15393162790078,1079
9122,1326
4802,224
8796093032402,1324
10995116279310,160
8796093024002,735
26388279077358,685
19791209305058,1682
10995116285710,653
30786325580394,382
24189255819422,378
19791209307746,686
6597069773138,1493
26388279070206,3987
35184372089870,447
35184372091526,1432
6597069769230,497
28587302330510,348
17592186055310,424
13194139534178,2099
15393162789218,2086
13194139533770,1217
24189255821234,145
8796093023690,2241
13194139538590,2394
32985348838410,186
15393162792146,398
15393162789846,1004
6597069769686,1356
10995116284938,187
6597069773646,2888
30786325586330,338
28587302328942,500
24189255821690,2586
17592186055058,1029
35184372096194,1483
182,3243
21990232563186,717
26388279071146,1156
10995116283786,3534
21990232559362,297
2199023261954,94
4398046520446,1042
32985348840886,804
10022,469
10995116282478,544
8796093024438,475
35184372088850,464
28587302327210,1336
15393162797982,721
2199023264382,772
32985348839702,228
21990232560154,90
15393162795706,1111
24189255815194,613
35184372098394,93
8726,1847
8796093032982,1491
2199023260790,442
7898,35
17592186045590,184
2199023263094,126
8796093030114,1402
10898,187
7490,144
10995116283714,166
24189255813350,125
32985348833510,186
10995116283110,1228
3050,439
6597069770218,380
8796093023078,2697
21990232558442,1923
32985348838034,2259
21990232559098,223
2199023263046,286
6597069775034,3276
4398046512190,1333
17592186046358,798
15393162799290,4709
2199023265938,563
4398046517570,1112
4398046521350,1329
21990232561254,802
10995116278662,353
19791209301230,476
4398046513126,1641
17592186052462,1021
19791209306158,13386
37383395345594,409
19791209306494,310
4398046512838,543
15393162791154,950
4398046521986,1823
2199023256462,11309
21990232565302,247
4398046512214,3122
2199023256066,1041
2199023262746,392
4398046515398,957
35184372095402,1079
30786325585138,615
24189255819262,3593
4398046512370,918
28587302324694,2119
28587302328026,1820
10995116286350,240
10995116282366,655
4398046513838,235
21990232561050,1531
32985348838830,1015
10995116285346,705
37383395348486,329
6597069776882,450
21990232562518,602
15393162796502,1160
21990232561386,1024
8796093025002,1493
30786325584170,27
5474,873
19791209301206,168
26388279074906,609
2199023259074,1090
4398046514114,1389
13194139536770,268
24189255817090,419
30786325581422,574
4398046517258,1909
4398046513442,2121
6597069769506,887
15393162792594,249
17592186050170,2024
24189255818938,1634
21990232558870,437
21990232563806,1610
30786325582938,357
24189255818842,1908
15393162792798,648
15393162791214,369
19791209305390,916
19791209305634,790
28587302329890,275
6597069769446,638
10995116281134,769
30786325585738,333
37383395352366,670
15393162794666,1684
17592186046214,2662
28587302330970,517
10995116288430,504
13194139538306,1440
21990232561626,12311
6597069769154,400
35184372096854,102
6597069767030,532
30786325580550,827
13194139536974,919
6597069770822,8964
19791209303126,1090
35184372097122,508
28587302332650,224
10995116281242,372
15393162791806,391
24189255813906,1672
21990232562730,1301
24189255818478,409
30786325588302,81
26388279067286,831
17592186047186,604
17592186052378,844
21990232562086,1247
32985348843230,236
10995116280306,280
4398046517846,1068
19791209308394,1455
26388279074714,3026
19791209305982,1899
8796093025662,733
15393162790754,675
6597069777534,945
10995116287614,526
4398046513502,1601
8796093030458,2101
10995116287466,3109
